""	"DMRT1"	"DKK1"	"WNT4"	"SRY"	"NR0B1"	"RSPO1"	"NR5A1"	"SOX9"	"CTNNB1"	"WT1pKTS"	"FGF9"	"DHH"	"PGD2"	"FOXL2"	"AMH"	"CBX2"	"UGR"	"GATA4"	"WT1mKTS"
"E801_438"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1_769"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1795_733"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E645_767"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E487_58"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E284_5"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0
"E1797_596"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1058_571"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E426_671"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1421_298"	2	2	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	2	2
"E1342_303"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1838_217"	2	2	2	2	2	1	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1205_441"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E243_17"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	1	2
"E1297_71"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E955_615"	2	2	0	2	0	0	2	2	0	2	1	2	1	0	1	0	0	2	2
"E1249_687"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E911_206"	2	2	2	2	2	0	2	1	0	2	0	0	0	0	0	1	0	2	2
"E356_143"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E585_315"	2	2	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	2	2
"E1875_274"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1395_781"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E64_718"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E1582_573"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E395_752"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E700_361"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E709_134"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	1
"E1343_759"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E84_794"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1434_21"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	2	2
"E1329_321"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E322_105"	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E140_372"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E106_563"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1606_316"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1508_539"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1102_404"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E905_125"	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1196_515"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E552_450"	2	2	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	2	2
"E1698_699"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E1401_220"	0	0	2	2	2	2	0	0	1	2	0	0	0	0	0	0	0	1	2
"E1097_282"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	1	2
"E1538_410"	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1
"E676_765"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E414_718"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E92_524"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1416_382"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1179_586"	2	2	0	2	0	0	1	2	0	2	2	2	1	0	1	0	0	2	2
"E1597_383"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1680_760"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E670_789"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1748_438"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E831_421"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E125_263"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1830_130"	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E960_401"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E722_718"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E30_71"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1561_285"	0	0	2	0	2	2	0	0	1	1	0	0	0	0	0	0	0	2	2
"E242_213"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E496_41"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	1	2
"E1647_587"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E566_374"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1673_380"	0	1	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	1	2
"E1846_453"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E717_283"	0	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	2
"E410_465"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E396_717"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1225_707"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E593_600"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E1514_727"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1287_584"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1193_657"	2	2	0	1	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1978_106"	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1694_570"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E1534_250"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1798_332"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1651_442"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1500_157"	0	0	1	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1427_564"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E437_616"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E14_185"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1134_316"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1032_80"	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1603_103"	0	0	1	1	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1745_261"	1	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	1
"E31_193"	2	1	2	2	2	2	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1028_546"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1332_139"	0	0	1	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E581_748"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1436_616"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E928_447"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E201_173"	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1354_463"	0	0	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1525_123"	0	0	2	1	1	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1857_722"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E972_555"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E21_284"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E619_656"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E241_603"	2	2	0	1	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E927_432"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E949_413"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E65_389"	2	2	0	2	0	0	2	2	0	2	2	1	1	0	1	0	0	2	2
"E521_479"	2	2	0	2	0	0	2	2	0	2	1	2	1	0	1	0	0	2	2
"E639_425"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1682_535"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E785_147"	0	0	1	2	2	0	2	0	0	2	0	0	0	0	0	2	0	1	1
"E1402_204"	2	1	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E925_539"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1714_532"	2	2	0	2	2	0	1	1	0	2	0	0	0	0	0	0	0	1	2
"E1821_155"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	1	2
"E111_653"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E965_694"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1591_489"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E815_68"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1071_726"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1224_51"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1173_513"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1001_757"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E896_532"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E656_613"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E25_681"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E875_422"	2	2	0	2	0	0	2	2	0	2	2	1	1	0	1	0	0	2	2
"E429_653"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E188_127"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1662_719"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E347_782"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E1979_450"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E702_416"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E399_306"	0	0	2	0	2	2	0	0	1	1	0	0	0	0	0	0	0	2	2
"E542_184"	0	0	2	2	2	2	0	0	1	2	0	0	0	0	0	1	0	2	2
"E608_441"	0	0	1	0	2	0	2	0	0	2	0	0	0	0	0	0	0	1	2
"E424_145"	0	0	2	2	1	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1907_370"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E816_174"	0	0	2	2	2	0	0	0	1	2	0	0	0	0	0	2	0	1	2
"E1481_471"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	1
"E721_426"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E954_311"	2	2	0	2	2	1	0	0	0	2	0	0	0	0	0	0	0	2	2
"E571_258"	2	2	2	2	2	1	0	0	0	2	0	0	0	0	0	0	0	2	2
"E695_366"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	1
"E1575_617"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E737_495"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E699_539"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1221_300"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E661_771"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	1	2
"E596_61"	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1588_183"	0	0	2	2	2	1	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1666_592"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1679_65"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1974_319"	2	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E583_19"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E665_251"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1231_701"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1294_148"	0	0	2	2	1	1	2	0	1	2	0	0	0	0	0	2	0	2	2
"E1043_653"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E500_71"	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E1918_389"	2	2	0	2	2	0	1	2	0	2	0	0	0	0	0	0	0	2	2
"E1541_65"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	2	2
"E784_428"	2	2	0	2	1	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1248_501"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1625_294"	0	0	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	2
"E187_154"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E449_83"	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	2	0	2	2
"E1358_586"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1519_47"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E255_608"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E169_347"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1971_463"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	1	2
"E1007_131"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E859_551"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E689_86"	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1026_622"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E937_440"	2	2	0	2	1	0	2	2	0	2	2	2	1	0	0	0	0	2	2
"E1860_226"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E1324_629"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1839_336"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E973_228"	1	1	2	0	2	2	1	0	0	2	0	0	0	0	0	2	0	2	2
"E38_31"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E59_681"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1636_784"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1437_241"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E37_593"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1496_198"	0	0	2	2	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E1619_714"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E7_697"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E1692_585"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1111_381"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1768_507"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1303_476"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E632_727"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E880_391"	2	2	0	2	2	0	2	1	0	2	0	0	0	0	0	0	0	2	2
"E586_6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"E119_549"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E57_719"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1236_630"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1896_709"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1713_149"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1681_291"	0	0	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1299_162"	0	0	2	2	2	0	1	0	0	2	0	0	0	0	0	2	0	2	2
"E654_183"	0	0	2	2	2	2	0	0	1	1	0	0	0	0	0	2	0	2	2
"E29_343"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E100_667"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E338_92"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E704_238"	2	2	2	2	2	2	0	0	0	1	0	0	0	0	0	0	0	2	2
"E885_369"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E71_405"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1115_93"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	1
"E730_39"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1624_645"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E1355_693"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E32_227"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1693_369"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E626_529"	0	0	1	0	2	1	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1320_711"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1585_248"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E747_657"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1388_390"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E319_143"	0	0	2	1	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E568_418"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E114_166"	0	0	2	1	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1136_650"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1955_328"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1445_474"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E594_701"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E1290_119"	0	0	0	1	1	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E797_250"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E225_368"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E168_137"	0	0	2	2	2	0	2	0	0	1	0	0	0	0	0	2	0	2	2
"E1775_376"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1468_472"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1789_94"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	1	1	2
"E1362_662"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E384_175"	0	0	2	2	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E507_744"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E894_373"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1592_152"	0	0	2	2	2	0	2	0	0	1	0	0	0	0	0	2	0	2	2
"E834_796"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1198_713"	2	2	0	2	0	0	2	1	0	2	2	2	1	0	1	0	0	1	2
"E757_521"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E150_782"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1644_448"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E443_357"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E860_310"	2	2	0	2	2	0	1	1	0	2	0	0	0	0	0	0	0	2	2
"E683_395"	2	2	0	2	1	0	2	2	0	1	1	1	0	0	1	0	0	2	2
"E1776_314"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1450_314"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1341_383"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E895_142"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	1	0	2	2
"E415_10"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	1	2
"E1403_381"	2	2	0	2	2	0	1	2	0	2	0	0	0	0	0	0	0	2	2
"E1132_625"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1643_356"	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	2
"E1494_315"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E421_358"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E633_340"	0	0	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	2	2
"E638_462"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1345_742"	0	0	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1802_653"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E944_155"	0	0	2	2	1	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1255_514"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	0	0	0	2	2
"E754_372"	2	2	0	2	2	0	2	1	0	2	0	0	0	0	0	0	0	2	2
"E929_495"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1363_490"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1607_637"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E769_582"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E98_679"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E156_137"	0	0	1	1	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1929_239"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1641_622"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E1792_547"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1774_176"	0	0	1	2	2	0	2	0	0	2	0	0	0	0	0	1	0	2	1
"E10_242"	2	2	2	1	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E34_399"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	1	2
"E1361_380"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1524_148"	0	0	2	1	2	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E1109_476"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E422_762"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E799_184"	2	2	2	2	1	1	1	0	0	2	0	0	0	0	0	0	0	2	2
"E565_772"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1366_648"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1000_636"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1820_274"	2	2	1	2	2	2	0	0	0	2	0	0	0	0	0	0	0	1	2
